"Treatment","Rep","Day","GPP","AS","Nuts","Lake.ID","DOC","DOC2","GPPpre","meso"
"C",2,49,369.417464422914,0,0,8,25.5789761164286,654.284019164825,381.539156588376,"C2"
"C",2,50,419.880784142432,0,0,8,25.6283135757143,656.810456735142,369.417464422914,"C2"
"C",2,51,259.498018228414,0,0,8,25.677651035,659.341762675237,419.880784142432,"C2"
"C",2,52,272.300827260111,0,0,8,26.0531240728571,678.765273955686,259.498018228414,"C2"
"C",2,53,244.283380144106,0,0,8,26.4285971107143,698.470745240456,272.300827260111,"C2"
"C",2,54,285.920954938035,0,0,8,26.8040701485714,718.458176529537,244.283380144106,"C2"
"C",2,55,107.613723420642,0,0,8,27.1795431864286,738.727567822937,285.920954938035,"C2"
"C",2,56,116.831422923394,0,0,8,27.5550162242857,759.278919120648,107.613723420642,"C2"
"C",2,57,163.909998052135,0,0,8,27.9304892621429,780.11223042268,116.831422923394,"C2"
"C",2,58,365.155315578008,0,0,8,28.3059623,801.227501729021,163.909998052135,"C2"
"C",2,59,286.666118875324,0,0,8,30.7579688883333,946.052650135679,365.155315578008,"C2"
"C",2,60,19.4693349930354,0,0,8,33.2099754766667,1102.9024711608,286.666118875324,"C2"
"C",2,61,1.15444450787998e-06,0,0,8,35.661982065,1271.77696480438,19.4693349930354,"C2"
"C",2,62,7.02343894699194e-05,0,0,8,38.1139886533333,1452.67613106642,1.15444450787998e-06,"C2"
"C",2,63,208.427273342717,0,0,8,40.5659952416667,1645.59996994693,7.02343894699194e-05,"C2"
"C",2,64,154.142288172267,0,0,8,43.01800183,1850.54848144588,208.427273342717,"C2"
"C",3,2,7.43280008633076e-06,0,0,9,5.78712440036001,33.4908088252422,83.2842145827122,"C3"
"C",3,3,94.4105843236373,0,0,9,6.21307952174437,38.6023571435192,7.43280008633076e-06,"C3"
"C",3,4,46.8434816924839,0,0,9,6.63903464312872,44.0767809926633,94.4105843236373,"C3"
"C",3,5,119.531421012397,0,0,9,7.06498976451307,49.9140803726744,46.8434816924839,"C3"
"C",3,6,72.8575753902467,0,0,9,7.49094488589742,56.1142552835527,119.531421012397,"C3"
"C",3,7,60.8841080963046,0,0,9,7.91690000728178,62.6773057252982,72.8575753902467,"C3"
"C",3,8,85.777895547573,0,0,9,8.34285512866613,69.6032316979108,60.8841080963046,"C3"
"C",3,9,4.77871120196897e-07,0,0,9,8.76881025005048,76.8920332013904,85.777895547573,"C3"
"C",3,10,63.4122862728771,0,0,9,9.28127750590041,86.1421121415329,4.77871120196897e-07,"C3"
"C",3,11,68.7588375607498,0,0,9,9.79374476175034,95.9174364583122,63.4122862728771,"C3"
"C",3,12,127.506414914402,0,0,9,10.3062120176003,106.218006151729,68.7588375607498,"C3"
"C",3,13,124.003901786542,0,0,9,10.8186792734502,117.043821221781,127.506414914402,"C3"
"C",3,14,78.5451911871122,0,0,9,11.3311465293001,128.39488166847,124.003901786542,"C3"
"C",3,15,207.396304986465,0,0,9,11.8436137851501,140.271187491797,78.5451911871122,"C3"
"C",3,16,174.907370342642,0,0,9,12.356081041,152.67273869176,207.396304986465,"C3"
"C",3,17,69.8130808642779,0,0,9,12.6027413169617,158.829088702254,174.907370342642,"C3"
"C",3,18,213.364160118103,0,0,9,12.8494015929235,165.107121296225,69.8130808642779,"C3"
"C",3,19,203.570602946524,0,0,9,13.0960618688852,171.506836473669,213.364160118103,"C3"
"C",3,20,165.697726015285,0,0,9,13.3427221448469,178.028234234588,203.570602946524,"C3"
"C",3,21,360.595388269245,0,0,9,13.5893824208087,184.671314578985,165.697726015285,"C3"
"C",3,22,388.236641801336,0,0,9,13.8360426967704,191.436077506854,360.595388269245,"C3"
"C",3,23,109.40427051312,0,0,9,14.0827029727322,198.3225230182,388.236641801336,"C3"
"C",3,24,237.189670110428,0,0,9,14.8068672130561,219.243316665076,109.40427051312,"C3"
"C",3,25,207.176168503956,0,0,9,15.5310314533801,241.212938005882,237.189670110428,"C3"
"C",3,26,252.927491604373,0,0,9,16.2551956937041,264.231387040616,207.176168503956,"C3"
"C",3,27,170.373356709364,0,0,9,16.9793599340281,288.298663769279,252.927491604373,"C3"
"C",3,28,157.297779911579,0,0,9,17.703524174352,313.414768191866,170.373356709364,"C3"
"C",3,29,308.479269516804,0,0,9,18.427688414676,339.579700308384,157.297779911579,"C3"
"C",3,30,192.304556323024,0,0,9,19.151852655,366.793460118831,308.479269516804,"C3"
